repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category,input,stars_prev,star_growth,star_growth_rate,momentum_score,signal
AI-in-Transportation-Lab/awesome-tinyml,AI-in-Transportation-Lab,https://github.com/AI-in-Transportation-Lab/awesome-tinyml,,JavaScript,"['machine-learning', 'tinyml', 'tiny-machine-learnig']",142,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
AI-sandbox/gnomix,AI-sandbox,https://github.com/AI-sandbox/gnomix,,Python,"['machine-learning', 'genomics', 'ancestry']",121,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
AdilShamim8/100-AI-Machine-Learning-Deep-Learnin-Projects,AdilShamim8,https://github.com/AdilShamim8/100-AI-Machine-Learning-Deep-Learnin-Projects,,HTML,"['python', 'nlp', 'data-science', 'machine-learning', 'ai']",258,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
AgileRL/AgileRL,AgileRL,https://github.com/AgileRL/AgileRL,,Python,"[""python"",""training"",""machine-learning"",""reinforcement-learning"",""deep-learning""]",944,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
AgileRL/AgileRL,AgileRL,https://github.com/AgileRL/AgileRL,,Python,"[""python"",""training"",""machine-learning"",""reinforcement-learning"",""deep-learning""]",944,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,944.0,0,0.0,0.0,💤 LOW VELOCITY
AkihikoWatanabe/paper_notes,AkihikoWatanabe,https://github.com/AkihikoWatanabe/paper_notes,,HTML,"['blog', 'nlp', 'machine-learning', 'computer-vision', 'notes']",158,,,,,,,,,raw_2026_08_22,2026-08-22,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
BiaPyX/BiaPy,BiaPyX,https://github.com/BiaPyX/BiaPy,,Jupyter Notebook,"[""python"",""machine-learning"",""computer-vision"",""deep-learning"",""image-processing""]",211,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Computer Vision|Core ML & Deep Learning,Computer Vision,,,0,0.0,0.0,💤 LOW VELOCITY
BiaPyX/BiaPy,BiaPyX,https://github.com/BiaPyX/BiaPy,,Jupyter Notebook,"['python', 'machine-learning', 'computer-vision', 'deep-learning', 'image-processing']",211,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",211.0,0,0.0,0.0,💤 LOW VELOCITY
CASE-Lab-UMD/LLM-Drop,CASE-Lab-UMD,https://github.com/CASE-Lab-UMD/LLM-Drop,,Python,"['machine-learning', 'natural-language-processing', 'deep-learning', 'attention-mechanism', 'model-compression']",191,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
CASE-Lab-UMD/Unified-MoE-Compression,CASE-Lab-UMD,https://github.com/CASE-Lab-UMD/Unified-MoE-Compression,,Python,"['machine-learning', 'natural-language-processing', 'deep-learning', 'model-compression', 'mixture-of-experts']",89,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
CVHub520/X-AnyLabeling,CVHub520,https://github.com/CVHub520/X-AnyLabeling,,Python,"[""machine-learning"",""ocr"",""computer-vision"",""deep-learning"",""sam""]",10120,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision,,,0,0.0,0.0,💤 LOW VELOCITY
CVHub520/X-AnyLabeling,CVHub520,https://github.com/CVHub520/X-AnyLabeling,,Python,"['machine-learning', 'ocr', 'computer-vision', 'deep-learning', 'sam']",10149,,,,,,,,,raw_2026_08_22,2026-08-22,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",10120.0,29,0.29,36.6,🌱 STEADY
Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,Carl-McBride-Ellis,https://github.com/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,Unknown,"['machine-learning', 'statistics', 'random-forest', 'svm', 'linear-regression']",555,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
CliMA/ClimaAtmos.jl,CliMA,https://github.com/CliMA/ClimaAtmos.jl,,Julia,"['machine-learning', 'gpu', 'optimization', 'climate', 'julia']",125,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
CliMA/Oceananigans.jl,CliMA,https://github.com/CliMA/Oceananigans.jl,,Julia,"['machine-learning', 'gpu', 'climate', 'julia', 'ocean']",1410,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"[""machine-learning"",""generative-ai""]",1970,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"[""machine-learning"",""generative-ai""]",1970,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,1970.0,0,0.0,0.0,💤 LOW VELOCITY
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"['machine-learning', 'generative-ai']",1976,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",1970.0,6,0.3,22.1,🌱 STEADY
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"['machine-learning', 'generative-ai']",1978,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",1976.0,2,0.1,11.9,💤 LOW VELOCITY
DIAGNijmegen/rse-grand-challenge,DIAGNijmegen,https://github.com/DIAGNijmegen/rse-grand-challenge,,Python,"['python', 'docker', 'machine-learning', 'django', 'ai']",193,,,,,,,,,raw_2026_08_21,2026-08-21,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
DashAISoftware/dashAI,DashAISoftware,https://github.com/DashAISoftware/dashAI,,Python,"[""machine-learning"",""deep-learning"",""artificial-intelligence"",""workbench""]",398,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
DashAISoftware/dashAI,DashAISoftware,https://github.com/DashAISoftware/dashAI,,Python,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'workbench']",428,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",398.0,30,7.54,55.8,⚡ ACCELERATING
Dicklesworthstone/franken_whisper,Dicklesworthstone,https://github.com/Dicklesworthstone/franken_whisper,,Rust,"['rust', 'cli', 'machine-learning', 'ffmpeg', 'gpu']",64,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
ENSTA-U2IS-AI/awesome-uncertainty-deeplearning,ENSTA-U2IS-AI,https://github.com/ENSTA-U2IS-AI/awesome-uncertainty-deeplearning,,Unknown,"[""machine-learning"",""awesome"",""deep-neural-networks"",""deep-learning"",""uncertainty-neural-networks""]",824,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
ErcinDedeoglu/crypto-market-data,ErcinDedeoglu,https://github.com/ErcinDedeoglu/crypto-market-data,,Unknown,"['machine-learning', 'time-series', 'bitcoin', 'trading', 'cryptocurrency']",75,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Evovest/EvoTrees.jl,Evovest,https://github.com/Evovest/EvoTrees.jl,,Julia,"['machine-learning', 'julia', 'regression', 'logistic', 'quantile']",200,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Fractal-Compute-Orchestrations/FractalWorkspace,Fractal-Compute-Orchestrations,https://github.com/Fractal-Compute-Orchestrations/FractalWorkspace,,Python,"['iot', 'distributed-systems', 'machine-learning', 'edge-computing', 'federated-learning']",89,,,,,,,,,raw_2026_08_22,2026-08-22,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
GAMS-dev/gamspy,GAMS-dev,https://github.com/GAMS-dev/gamspy,,Python,"['python', 'machine-learning', 'optimization', 'linear-programming', 'modeling-language']",131,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
GAMS-dev/gamspy,GAMS-dev,https://github.com/GAMS-dev/gamspy,,Python,"['python', 'machine-learning', 'optimization', 'linear-programming', 'modeling-language']",131,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",131.0,0,0.0,0.0,💤 LOW VELOCITY
GrayboxTech/weightslab,GrayboxTech,https://github.com/GrayboxTech/weightslab,,Python,"['python', 'open-source', 'machine-learning', 'computer-vision', 'deep-learning']",166,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Greninja9257/LabLLM,Greninja9257,https://github.com/Greninja9257/LabLLM,,Swift,"[""macos"",""swift"",""machine-learning"",""ai"",""deep-learning""]",53,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
Hazrat-Ali9/AI-ML-Core-Foundations,Hazrat-Ali9,https://github.com/Hazrat-Ali9/AI-ML-Core-Foundations,,Jupyter Notebook,"['javascript', 'python', 'machine-learning', 'foundation', 'artificial-intelligence']",54,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Heiaha/Weiawaga,Heiaha,https://github.com/Heiaha/Weiawaga,,Rust,"['rust', 'machine-learning', 'chess-engine', 'chess', 'ai']",59,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
JohnSnowLabs/johnsnowlabs,JohnSnowLabs,https://github.com/JohnSnowLabs/johnsnowlabs,,Python,"['python', 'nlp', 'machine-learning', 'natural-language-processing', 'spark']",74,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Jordan-Pierce/CoralNet-Toolbox,Jordan-Pierce,https://github.com/Jordan-Pierce/CoralNet-Toolbox,,Python,"['machine-learning', 'image-annotation', 'image-classification', 'object-detection', 'cpc']",51,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"[""programming-language"",""science"",""machine-learning"",""hpc"",""julia""]",49010,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"[""programming-language"",""science"",""machine-learning"",""hpc"",""julia""]",49018,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,49010.0,8,0.02,22.2,🌱 STEADY
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"['programming-language', 'science', 'machine-learning', 'hpc', 'julia']",49022,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",49018.0,4,0.01,16.2,💤 LOW VELOCITY
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"['programming-language', 'science', 'machine-learning', 'hpc', 'julia']",49022,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",49022.0,0,0.0,0.0,💤 LOW VELOCITY
Kiln-AI/Kiln,Kiln-AI,https://github.com/Kiln-AI/Kiln,,Python,"[""python"",""windows"",""macos"",""machine-learning"",""ai""]",5027,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
Kiln-AI/Kiln,Kiln-AI,https://github.com/Kiln-AI/Kiln,,Python,"[""python"",""windows"",""macos"",""machine-learning"",""ai""]",5029,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,5027.0,2,0.04,11.4,💤 LOW VELOCITY
Kiln-AI/Kiln,Kiln-AI,https://github.com/Kiln-AI/Kiln,,Python,"['python', 'windows', 'macos', 'machine-learning', 'ai']",5029,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",5029.0,0,0.0,0.0,💤 LOW VELOCITY
Kiln-AI/Kiln,Kiln-AI,https://github.com/Kiln-AI/Kiln,,Python,"['python', 'windows', 'macos', 'machine-learning', 'ai']",5031,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",5029.0,2,0.04,11.4,💤 LOW VELOCITY
Kitware/dive,Kitware,https://github.com/Kitware/dive,,TypeScript,"['docker', 'machine-learning', 'video', 'computer-vision', 'image-annotation']",105,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|MLOps & Orchestration|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Leeroo-AI/kapso,Leeroo-AI,https://github.com/Leeroo-AI/kapso,,Python,"['machine-learning', 'program-synthesis', 'knowledge-graph', 'code-optimization', 'autonomous-agents']",96,,,,,,,,,raw_2026_08_21,2026-08-21,AI Agents|Core ML & Deep Learning,AI Agents,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Leeroo-AI/kapso,Leeroo-AI,https://github.com/Leeroo-AI/kapso,,Python,"['machine-learning', 'program-synthesis', 'knowledge-graph', 'code-optimization', 'autonomous-agents']",97,,,,,,,,,raw_2026_08_22,2026-08-22,AI Agents|Core ML & Deep Learning,AI Agents,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",96.0,1,1.04,14.1,💤 LOW VELOCITY
Lightning-AI/torchmetrics,Lightning-AI,https://github.com/Lightning-AI/torchmetrics,,Python,"[""python"",""data-science"",""machine-learning"",""deep-learning"",""metrics""]",2459,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
LongxingTan/Time-series-prediction,LongxingTan,https://github.com/LongxingTan/Time-series-prediction,,Python,"['machine-learning', 'timeseries', 'deep-learning', 'time-series', 'neural-network']",889,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
MONZikWasTaken/Framegen,MONZikWasTaken,https://github.com/MONZikWasTaken/Framegen,,JavaScript,"['chrome-extension', 'machine-learning', 'real-time', 'video-processing', 'webgpu']",102,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
MaartenGr/BERTopic,MaartenGr,https://github.com/MaartenGr/BERTopic,,Python,"['nlp', 'machine-learning', 'topic', 'transformers', 'topic-modeling']",7796,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
MagnivOrg/prompt-layer-library,MagnivOrg,https://github.com/MagnivOrg/prompt-layer-library,,Python,"[""python"",""machine-learning"",""prompt"",""openai"",""gpt""]",783,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"[""python"",""cli"",""machine-learning"",""transformers"",""pytorch""]",2265,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"[""python"",""cli"",""machine-learning"",""transformers"",""pytorch""]",2410,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,2265.0,145,6.4,69.9,🔥 BREAKOUT
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"['python', 'cli', 'machine-learning', 'transformers', 'pytorch']",2635,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2410.0,225,9.34,77.6,🔥 BREAKOUT
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"['python', 'cli', 'machine-learning', 'transformers', 'pytorch']",2725,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2635.0,90,3.42,60.0,🔥 BREAKOUT
Manuteaa/dbd_autoSkillCheck,Manuteaa,https://github.com/Manuteaa/dbd_autoSkillCheck,,Python,"['machine-learning', 'artificial-intelligence', 'dead-by-daylight']",119,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
MinishLab/model2vec,MinishLab,https://github.com/MinishLab/model2vec,,Python,"[""python"",""nlp"",""machine-learning"",""ai"",""word-embeddings""]",2179,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval,,,0,0.0,0.0,💤 LOW VELOCITY
Mubelotix/SimRepo,Mubelotix,https://github.com/Mubelotix/SimRepo,,TypeScript,"[""github"",""git"",""recommendations"",""machine-learning"",""embeddings""]",321,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval,,,0,0.0,0.0,💤 LOW VELOCITY
NACLab/ngc-learn,NACLab,https://github.com/NACLab/ngc-learn,,Python,"[""python"",""machine-learning"",""neuroscience"",""computational-neuroscience"",""neural-networks""]",205,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
