repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date
Kiln-AI/Kiln,Kiln-AI,https://github.com/Kiln-AI/Kiln,,Python,"[""python"",""windows"",""macos"",""machine-learning"",""ai""]",5029,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
huggingface/dataset-viewer,huggingface,https://github.com/huggingface/dataset-viewer,,Python,"[""nlp"",""data"",""machine-learning"",""api-rest"",""datasets""]",898,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
Scottcjn/legend-of-elya-n64,Scottcjn,https://github.com/Scottcjn/legend-of-elya-n64,,C,"[""zelda"",""homebrew"",""machine-learning"",""ai"",""mips""]",129,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
packing-box/docker-packing-box,packing-box,https://github.com/packing-box/docker-packing-box,,Python,"[""machine-learning"",""docker-image"",""malware-analysis"",""binary-analysis"",""malware-research""]",66,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
microsoft/onnxruntime,microsoft,https://github.com/microsoft/onnxruntime,,C++,"[""machine-learning"",""deep-learning"",""tensorflow"",""scikit-learn"",""pytorch""]",21400,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
dipy/dipy,dipy,https://github.com/dipy/dipy,,Python,"[""python"",""tracking"",""machine-learning"",""medical-imaging"",""registration""]",835,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
orcasound/orcahello,orcasound,https://github.com/orcasound/orcahello,,C#,"[""machine-learning"",""real-time"",""deep-learning"",""neural-network"",""realtime""]",58,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
Greninja9257/LabLLM,Greninja9257,https://github.com/Greninja9257/LabLLM,,Swift,"[""macos"",""swift"",""machine-learning"",""ai"",""deep-learning""]",53,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
lightly-ai/lightly,lightly-ai,https://github.com/lightly-ai/lightly,,Python,"[""machine-learning"",""computer-vision"",""deep-learning"",""pytorch"",""embeddings""]",3795,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
argoproj/argo-workflows,argoproj,https://github.com/argoproj/argo-workflows,,Go,"[""kubernetes"",""workflow"",""machine-learning"",""airflow"",""workflow-engine""]",16916,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
kornia/kornia-rs,kornia,https://github.com/kornia/kornia-rs,,Rust,"[""python"",""rust"",""machine-learning"",""computer-vision"",""deep-learning""]",694,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
google-deepmind/kfac-jax,google-deepmind,https://github.com/google-deepmind/kfac-jax,,Python,"[""machine-learning"",""optimization"",""bayesian-deep-learning""]",330,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
iree-org/iree,iree-org,https://github.com/iree-org/iree,,C++,"[""machine-learning"",""compiler"",""runtime"",""tensorflow"",""vulkan""]",3887,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
NVIDIA/raft,NVIDIA,https://github.com/NVIDIA/raft,,Cuda,"[""machine-learning"",""information-retrieval"",""statistics"",""clustering"",""gpu""]",1036,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
NVIDIA/cuml,NVIDIA,https://github.com/NVIDIA/cuml,,Python,"[""machine-learning"",""gpu"",""machine-learning-algorithms"",""cuda"",""nvidia""]",5255,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
attevon-llc/OpenTranscribe,attevon-llc,https://github.com/attevon-llc/OpenTranscribe,,Python,"[""nlp"",""docker"",""open-source"",""machine-learning"",""ai""]",85,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
sstklen/trump-code,sstklen,https://github.com/sstklen/trump-code,,Python,"[""machine-learning"",""trump"",""ai"",""prediction"",""open-data""]",794,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
christopherkarani/Wax,christopherkarani,https://github.com/christopherkarani/Wax,,Swift,"[""swift"",""cli"",""data-science"",""machine-learning"",""metal""]",784,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
openvinotoolkit/openvino_notebooks,openvinotoolkit,https://github.com/openvinotoolkit/openvino_notebooks,,Jupyter Notebook,"[""machine-learning"",""computer-vision"",""deep-learning"",""inference"",""openvino""]",3204,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
run-llama/ParseBench,run-llama,https://github.com/run-llama/ParseBench,,Python,"[""benchmark"",""machine-learning"",""ocr"",""evaluation"",""pdf-parsing""]",550,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
PennyLaneAI/pennylane,PennyLaneAI,https://github.com/PennyLaneAI/pennylane,,Python,"[""python"",""machine-learning"",""deep-learning"",""neural-network"",""qml""]",3423,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
neo4j/graph-data-science-client,neo4j,https://github.com/neo4j/graph-data-science-client,,Python,"[""python"",""data-science"",""machine-learning"",""algorithms"",""neo4j""]",245,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
ccao-data/model-res-avm,ccao-data,https://github.com/ccao-data/model-res-avm,,R,"[""data-science"",""machine-learning"",""r"",""model"",""assessment""]",71,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
NVIDIA/physicsnemo,NVIDIA,https://github.com/NVIDIA/physicsnemo,,Python,"[""machine-learning"",""deep-learning"",""physics"",""pytorch"",""nvidia-gpu""]",3172,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
kennethleungty/Finance-LLMs,kennethleungty,https://github.com/kennethleungty/Finance-LLMs,,Unknown,"[""agent"",""finance"",""machine-learning"",""insurance"",""artificial-intelligence""]",137,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
uxlfoundation/scikit-learn-intelex,uxlfoundation,https://github.com/uxlfoundation/scikit-learn-intelex,,Python,"[""python"",""machine-learning"",""big-data"",""analytics"",""gpu""]",1355,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
lean-dojo/LeanCopilot,lean-dojo,https://github.com/lean-dojo/LeanCopilot,,C++,"[""machine-learning"",""theorem-proving"",""lean"",""formal-mathematics"",""lean4""]",1313,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
TissueImageAnalytics/tiatoolbox,TissueImageAnalytics,https://github.com/TissueImageAnalytics/tiatoolbox,,Python,"[""python"",""machine-learning"",""deep-learning"",""image-analysis"",""cell-segmentation""]",544,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
flwrlabs/flower,flwrlabs,https://github.com/flwrlabs/flower,,Python,"[""android"",""python"",""raspberry-pi"",""ios"",""machine-learning""]",7081,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
qualcomm/ai-hub-models,qualcomm,https://github.com/qualcomm/ai-hub-models,,Python,"[""machine-learning"",""inference"",""pytorch"",""machinelearning"",""deeplearning""]",1187,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
VIAME/VIAME,VIAME,https://github.com/VIAME/VIAME,,Python,"[""open-source"",""tracking"",""machine-learning"",""computer-vision"",""deep-learning""]",336,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
VectorInstitute/odyssey,VectorInstitute,https://github.com/VectorInstitute/odyssey,,Python,"[""machine-learning"",""transformers"",""healthcare"",""electronic-health-record"",""state-space-models""]",61,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
keras-team/keras-hub,keras-team,https://github.com/keras-team/keras-hub,,Python,"[""python"",""nlp"",""machine-learning"",""natural-language-processing"",""deep-learning""]",985,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
streamlit/streamlit,streamlit,https://github.com/streamlit/streamlit,,Python,"[""python"",""data-science"",""machine-learning"",""deep-learning"",""data-visualization""]",45574,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
lubludrova/rl-handbook,lubludrova,https://github.com/lubludrova/rl-handbook,,MDX,"[""machine-learning"",""tutorial"",""course"",""reinforcement-learning"",""book""]",140,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
CVHub520/X-AnyLabeling,CVHub520,https://github.com/CVHub520/X-AnyLabeling,,Python,"[""machine-learning"",""ocr"",""computer-vision"",""deep-learning"",""sam""]",10120,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
bitsandbytes-foundation/bitsandbytes,bitsandbytes-foundation,https://github.com/bitsandbytes-foundation/bitsandbytes,,Python,"[""machine-learning"",""pytorch"",""quantization"",""llm"",""qlora""]",8428,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"[""machine-learning"",""ai"",""bitcoin"",""ethereum"",""stock""]",74,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
autogluon/autogluon,autogluon,https://github.com/autogluon/autogluon,,Python,"[""python"",""data-science"",""machine-learning"",""natural-language-processing"",""computer-vision""]",10609,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
netdata/netdata,netdata,https://github.com/netdata/netdata,,Go,"[""mysql"",""linux"",""docker"",""kubernetes"",""devops""]",80229,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
